StrainMock_contig-1931.3,gi|317054731|ref|NC_014833.1|_Ruminococcus_albus_7_chromosome
StrainMock_contig-1931.2,gi|317054731|ref|NC_014833.1|_Ruminococcus_albus_7_chromosome
StrainMock_contig-20.13,gi|317054731|ref|NC_014833.1|_Ruminococcus_albus_7_chromosome
StrainMock_contig-1931.4,gi|317054731|ref|NC_014833.1|_Ruminococcus_albus_7_chromosome
StrainMock_contig-1931.7,gi|317054731|ref|NC_014833.1|_Ruminococcus_albus_7_chromosome
StrainMock_contig-1931.6,gi|317054731|ref|NC_014833.1|_Ruminococcus_albus_7_chromosome
StrainMock_contig-1000903.19,gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03
StrainMock_contig-1000903.18,gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03
StrainMock_contig-1000903.11,gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03
StrainMock_contig-1000903.10,gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03
StrainMock_contig-1000903.13,gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03
StrainMock_contig-1000903.12,gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03
StrainMock_contig-1000903.15,gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03
StrainMock_contig-1000903.14,gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03
StrainMock_contig-1000903.17,gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03
StrainMock_contig-1000903.16,gi|324959701|ref|NC_015166.1|_Bacteroides_salanitronis_DSM_18170_plasmid_pBACSA03
StrainMock_contig-2018.44,gi|29611500|ref|NC_004703.1|_Bacteroides_thetaiotaomicron_VPI-5482_plasmid_p5482
StrainMock_contig-2018.43,gi|29611500|ref|NC_004703.1|_Bacteroides_thetaiotaomicron_VPI-5482_plasmid_p5482
StrainMock_contig-2018.42,gi|29611500|ref|NC_004703.1|_Bacteroides_thetaiotaomicron_VPI-5482_plasmid_p5482
StrainMock_contig-2018.41,gi|29611500|ref|NC_004703.1|_Bacteroides_thetaiotaomicron_VPI-5482_plasmid_p5482
