SpeciesMock_contig-2000451.8,gi|328954613|ref|NC_015389.1|_Coriobacterium_glomerans_PW2_chromosome
SpeciesMock_contig-2000451.9,gi|328954613|ref|NC_015389.1|_Coriobacterium_glomerans_PW2_chromosome
SpeciesMock_contig-2000451.6,gi|328954613|ref|NC_015389.1|_Coriobacterium_glomerans_PW2_chromosome
SpeciesMock_contig-2000451.7,gi|328954613|ref|NC_015389.1|_Coriobacterium_glomerans_PW2_chromosome
SpeciesMock_contig-2000451.4,gi|328954613|ref|NC_015389.1|_Coriobacterium_glomerans_PW2_chromosome
SpeciesMock_contig-2000451.5,gi|328954613|ref|NC_015389.1|_Coriobacterium_glomerans_PW2_chromosome
SpeciesMock_contig-2000451.2,gi|328954613|ref|NC_015389.1|_Coriobacterium_glomerans_PW2_chromosome
SpeciesMock_contig-2000451.3,gi|328954613|ref|NC_015389.1|_Coriobacterium_glomerans_PW2_chromosome
SpeciesMock_contig-2000451.0,gi|328954613|ref|NC_015389.1|_Coriobacterium_glomerans_PW2_chromosome
SpeciesMock_contig-2000451.1,gi|328954613|ref|NC_015389.1|_Coriobacterium_glomerans_PW2_chromosome
SpeciesMock_contig-2003443,gi|386085705|ref|NC_017563.1|_Streptococcus_thermophilus_ND03_chromosome
SpeciesMock_contig-1003830.1,gi|150014892|ref|NC_009617.1|_Clostridium_beijerinckii_NCIMB_8052_chromosome
SpeciesMock_contig-4002978.8,gi|52421214|ref|NC_006297.1|_Bacteroides_fragilis_YCH46_plasmid_pBFY46
SpeciesMock_contig-4002978.9,gi|52421214|ref|NC_006297.1|_Bacteroides_fragilis_YCH46_plasmid_pBFY46
SpeciesMock_contig-1003830.0,gi|150014892|ref|NC_009617.1|_Clostridium_beijerinckii_NCIMB_8052_chromosome
SpeciesMock_contig-4002978.0,gi|52421214|ref|NC_006297.1|_Bacteroides_fragilis_YCH46_plasmid_pBFY46
SpeciesMock_contig-4002978.1,gi|52421214|ref|NC_006297.1|_Bacteroides_fragilis_YCH46_plasmid_pBFY46
SpeciesMock_contig-2001436,gi|67078390|ref|NC_007107.1|_Bacillus_cereus_E33L_plasmid_pE33L9
SpeciesMock_contig-4002978.3,gi|52421214|ref|NC_006297.1|_Bacteroides_fragilis_YCH46_plasmid_pBFY46
SpeciesMock_contig-4002978.4,gi|52421214|ref|NC_006297.1|_Bacteroides_fragilis_YCH46_plasmid_pBFY46
SpeciesMock_contig-4002978.5,gi|52421214|ref|NC_006297.1|_Bacteroides_fragilis_YCH46_plasmid_pBFY46
SpeciesMock_contig-4002978.6,gi|52421214|ref|NC_006297.1|_Bacteroides_fragilis_YCH46_plasmid_pBFY46
SpeciesMock_contig-4002978.7,gi|52421214|ref|NC_006297.1|_Bacteroides_fragilis_YCH46_plasmid_pBFY46
SpeciesMock_contig-3818.19,gi|479166807|ref|NC_021018.1|_Coprococcus_sp._ART55/1_draft_genome
SpeciesMock_contig-3818.18,gi|479166807|ref|NC_021018.1|_Coprococcus_sp._ART55/1_draft_genome
