1	2	12
6173	6174	10
4	7479	13
3	6176	11
5	6	8
6	7479	11
7	8	31
8	15	31
9	10	30
10	7814	31
11	12	29
9	12	30
13	14	29
11	14	30
15	16	30
13	16	30
17	18	7
18	19	6
19	20	7
1619	6184	58
6184	9026	4
8888	8897	15
3963	7741	50
26	27	7
27	28	6
29	5458	3
31	32	7
25	33	6
34	818	32
34	979	6
34	8557	7
34	7740	23
34	8484	31
34	667	21
34	654	39
34	1742	2
36	780	4
39	749	4
39	6578	25
43	5685	24
43	6706	44
437	742	60
437	7593	25
46	5258	62
48	2662	25
49	7167	26
50	1480	63
50	6340	29
56	7529	23
58	5751	63
63	64	11
64	6925	10
66	67	11
67	68	11
68	69	9
69	70	11
70	71	11
71	72	11
72	73	13
63	73	11
78	79	29
79	7992	34
80	1867	19
81	9135	14
81	4920	6
83	5823	16
83	9130	43
84	3734	61
85	7580	29
85	4259	28
86	6185	26
87	5818	9
87	2690	7
88	7731	25
91	9373	4
91	5121	9
94	5075	7
97	5497	61
802	5546	5
802	5536	5
802	7549	2
802	2201	2
802	5805	5
802	1927	3
241	802	4
802	4143	4
802	7057	5
802	7533	5
802	3844	9
802	7027	5
100	7741	25
107	2105	54
111	3618	31
534	5561	63
116	5049	5
117	8750	28
127	2075	6
130	975	30
129	975	30
132	4662	33
133	900	63
133	6262	8
133	3841	14
136	8372	25
136	7944	11
137	2185	24
139	742	2
140	3389	63
140	8687	34
1050	3881	23
1050	5855	24
144	4681	29
147	2870	5
147	7506	6
156	157	30
161	9044	24
162	7051	10
163	5518	8
163	3171	2
164	7516	47
165	166	30
165	167	30
1600	1601	11
170	2293	24
1600	1603	10
177	1790	24
179	6861	4
1377	2140	22
1377	3703	61
1379	5142	30
196	6971	5
198	5613	25
202	8094	26
202	8224	25
203	3069	25
204	8480	5
204	8836	5
205	3696	11
205	4948	5
206	7356	7
207	209	23
207	1610	22
209	5905	2
211	6032	8
213	4314	12
216	6787	7
216	7758	4
216	5006	6
219	5942	22
1746	2038	8
231	2511	63
231	5974	27
239	242	9
241	940	4
242	1788	10
246	1789	12
244	1789	9
245	246	11
247	4951	2
248	1786	9
248	249	10
251	254	41
251	252	42
253	256	41
253	254	42
255	258	40
256	1194	35
255	256	41
257	260	43
257	258	40
259	1198	40
259	260	42
1869	6970	6
1881	1882	6
268	269	5
276	277	15
277	282	17
278	1949	17
1949	2273	17
281	2273	18
282	283	16
283	284	16
284	1954	18
1831	8551	26
287	6238	17
288	1525	5
290	291	17
276	293	17
305	306	17
306	307	16
307	308	18
309	310	30
310	311	31
311	312	31
314	315	30
309	315	34
316	5132	6
316	317	6
318	321	6
318	319	6
317	320	6
321	4115	25
322	325	6
322	323	5
319	324	6
324	325	5
337	7248	30
337	4637	29
346	9098	4
4289	6645	59
196	4289	22
4289	6971	29
4289	6057	30
3332	4289	49
357	9024	26
362	783	24
363	1986	63
365	369	15
366	9364	5
366	367	18
367	368	15
368	369	17
371	1943	26
373	6483	5
374	8656	5
374	9227	6
374	7044	9
382	8355	9
384	821	10
385	5713	20
386	6013	12
388	2367	26
390	7911	5
2669	2869	63
395	1891	8
400	7962	19
400	4557	5
400	3728	3
401	8592	25
402	4337	3
404	6862	28
405	2080	51
407	6040	51
412	1341	48
412	8320	60
419	496	5
999	7913	6
423	3513	18
442	443	33
443	444	32
444	445	33
445	6832	29
446	447	31
447	448	31
448	449	30
442	449	31
450	451	30
446	451	32
454	4845	5
455	9373	39
455	1523	30
455	4031	41
7069	7791	6
2931	3022	63
3023	3705	63
3025	4506	60
464	8191	15
472	8769	18
472	475	16
486	5056	9
486	6670	23
491	1950	4
494	8263	37
494	8508	4
494	1477	35
494	5918	35
494	9101	32
494	4719	6
494	1438	33
495	3006	6
496	3038	63
496	5321	15
498	7789	24
501	8623	24
7807	7942	10
5079	7962	8
2105	5092	63
519	4277	36
3497	7523	3
524	5158	63
893	6947	19
532	1841	8
532	8093	3
536	7998	3
537	6537	9
538	783	4
538	4318	57
538	8977	49
540	6787	8
540	5006	6
541	2200	3
559	2242	22
560	8700	12
566	8798	31
1628	3926	2
579	9167	10
580	7021	63
580	8980	54
582	583	17
583	596	18
584	585	6
586	587	5
587	588	7
588	4020	6
589	7424	8
589	2260	22
590	591	17
592	593	20
590	593	17
594	595	19
592	595	15
596	597	16
603	604	6
1907	4181	6
601	607	5
607	608	7
608	609	7
609	610	6
611	618	37
611	612	35
612	613	36
613	4198	36
615	616	38
616	617	36
617	618	38
619	626	40
619	620	43
620	621	38
621	622	42
4198	4219	34
624	4219	38
625	4225	40
625	626	41
628	3975	21
628	8827	20
629	1173	63
635	9069	9
640	641	7
642	2732	9
642	7178	4
640	4326	5
48	647	63
648	649	23
650	8359	9
650	651	21
648	651	21
653	4483	25
452	6933	28
656	661	30
657	6218	24
659	660	33
660	665	31
661	662	30
659	662	33
663	664	30
664	5778	30
665	666	31
663	666	32
667	2758	60
669	7526	7
669	1107	4
669	1588	2
670	6512	62
4679	4680	10
674	4051	4
674	4606	5
674	2197	4
678	681	18
678	679	17
680	687	17
680	681	16
682	685	18
682	683	17
679	684	17
684	685	17
686	5337	18
686	687	16
2113	4510	19
693	696	41
693	694	40
695	697	41
695	696	39
700	703	18
701	5434	4
702	705	15
702	703	14
704	4584	17
704	705	17
708	4180	6
710	4561	18
710	711	18
4773	8435	61
714	717	5
715	2292	23
716	725	6
720	721	8
723	7885	9
723	8098	26
729	1418	58
729	9373	4
739	4242	25
742	7593	26
749	5654	5
749	4738	25
752	3129	5
758	5303	24
374	758	7
758	6534	4
771	3793	3
4940	5546	4
4940	5536	5
4940	7549	2
2592	4940	3
2201	4940	2
4940	5805	5
1927	4940	3
4940	7057	5
4143	4940	4
4940	7027	4
4940	7533	5
3844	4940	7
773	4943	15
775	4943	16
775	776	16
776	777	16
777	778	18
778	779	16
779	4947	16
781	4947	16
4947	8799	7
781	782	16
782	3664	16
784	4954	32
6646	6844	30
789	2592	9
789	7549	8
790	6640	63
793	4976	31
793	4973	32
4976	4980	31
796	797	32
794	797	28
800	9003	24
808	817	16
808	809	16
809	810	17
810	811	16
811	812	17
812	5076	18
814	5076	17
814	815	17
816	9404	15
816	817	18
1373	7873	25
5563	7873	61
7873	9282	63
824	5143	23
824	825	22
825	826	22
627	7277	19
829	7277	21
